Org Name,Emails,IsPurchase
NATIONAL PUBLIC SCHOOL,info@npskrm.com,FALSE
National Academy for Learning,info@nafl.in,FALSE
AGASTHYA VIDYANIKETHAN,info@agasthyavidyanikethan.com,FALSE
KLAY Schools,info@klayschools.com,FALSE
Army Public School,apsbangalore@gmail.com;apsblre@rediffmail.com,FALSE
Silver Oaks International Schools,info@wfd.silveroaks.co.in;info@blr.silveroaks.co.in,FALSE
National Hill View Public School,nhvpsblore01@gmail.com,FALSE
Presidency School,admission-psbs@presidency.edu.in;principal-blk@presidency.edu.in,FALSE
Inventure Academy,admissions@inventureacademy.com,FALSE
Christ School,principal@christschool.in,FALSE
CARMEL SCHOOL,info@carmelschool.edu.in,FALSE
Ekya School,info@ekyaschools.com,FALSE
ORCHIDS Intenational Schools,info@orchids.edu.in,FALSE
Greenwood Schools,admissions.intl@greenwoodhigh.edu.in;admissions.bgt@greenwoodhigh.edu.in;admissions@greenwoodhigh.edu.in;admissions-koramangala@greenwoodhigh.edu.in;adm-jayanagar@greenwoodhigh.edu.in;admissions-whitefield@greenwoodhigh.edu.in;adm-bgt@greenwoodhigh.edu.in,FALSE
New Horizon Public School,chairman@newhorizonindia.edu;principalnhps@newhorizonindia.edu,FALSE
Carmel High School,carmelit1968@gmail.com,FALSE
Bishop Cotton,bcgs@bishopcottongirls.com,FALSE
Bishop Cotton,bcbhs@blr.vsnl.net.in,FALSE
Nathaniel School Of Music,music@nathanielschool.com,FALSE
Rashtriya Military Schools,chail@rashtriyamilitaryschools.in,FALSE
LISAA School of Design,info@lisaabangalore.com,FALSE
India International School,school@iisbangalore.org;admission@iisbangalore.org,FALSE
Sri Aurobindo Memorial School,sri_aurobindo@vsnl.com,FALSE
The Oxford Senior Secondary School,oxford78cbse@yahoo.com;info@theoxford.edu,FALSE
Gear Innovative,contactus@gear.ac.in,FALSE
Brigade School,bfcommunication@brigadeschools.edu.in,FALSE
PSBB Learning Leadership Academy,psbblla@psbbacademy.org,FALSE
Oakridge International School,admissions@oakridge.in,FALSE
Swargarani School,swargarani_school@yahoo.com,FALSE
AL AMEEN EDUCATIONAL SOCIETY,infoalameen@gmail.com;alameenasc@gmail.com;info@alameenpharmacy.edu;alameenasc@gmail.com;mba@alameen.co.in;bbm@alameen.co.in;alameenbed@rediffmail.com,FALSE
CMS Business School,bschool@cms.ac.in;enquiry.pg@jainuniversity.ac.in,FALSE
ORCHIDS THE INTERNATIONAL SCHOOL,counselor1.oisn@orchids.edu.in;info@orchids.edu.in,FALSE
Sarvodaya,info@sarvodaya.edu.in;info@sarvodaya.edu.in,FALSE
India International School,school@iisbangalore.org;admission@iisbangalore.org,FALSE
Harvest International School,admissions@harvestinternationalschool.in;info@harvestinternationalschool.in;harvestintschool@gmail.com,FALSE
Bethany Educational Institutions,school@bethanyinstitutions.edu.in,FALSE
St Francis School,st.francis@rediffmail.com,FALSE
Freedom International School ,freedominternationalschool@gmail.com,FALSE
The Foundation School,gunjur@foundationschoolindia.com;whitefield@foundationschoolindia.com ;mp@foundationschoolindia.com ,FALSE
Shishya BEML Public School,admissions@shishyabemlschool.edu.in;feedback@shishyabemlschool.edu.in,FALSE
GLOBAL CITY INTERNATIONAL SCHOOL,info@gcis.edu.in;admin@gcis.edu.in,FALSE
Euro School,connect@euroschoolindia.com;marketing@euroschoolindia.com,FALSE
Vydehi School,admin@vydehischool.com,FALSE
New Horizon Gurukul,chairman@newhorizongurukul.in;principal@newhorizongurukul.in;office@newhorizongurukul.in,FALSE
Global Indian International School,admissions.bangalore@globalindianschool.org,FALSE
The International School,school@tisb.ac.in,FALSE
Asia Pacific World School,info@apws.edu.in;admission@apws.edu.in,FALSE
Vatican High School,vaticanhighschool@gmail.com;career@vaticanhighschool.org;principal@vaticanhighschool.org,FALSE
NEW CITIZEN'S HIGH SCHOOL,ashrafnewcitizen01@gmail.com,FALSE
