CompanyName,Emails,IsPurchase
PRESIDENCY GROUP OF INSTITUTIONS,presidencyschoolnorth@presidency.edu.in;psbn@presidency.edu.in,FALSE
NITTE Eductional Trust,nis.bangalore@nitte.edu.in,FALSE
STONEHILL INTERNATIONAL SCHOOL,info@stonehill.in,FALSE
canadian international school,info@cisb.org.in;enroll@cisb.org.in,FALSE
Legacy School,info@lsb.edu.in,FALSE
Bangalore International School ,info@bischool.in,FALSE
Jain Heritage School,info@jhs.ac.in ,FALSE
V Blooms International School,vbloomsschool@gmail.com,FALSE
st dominics school,stdominicsschool@gmail.com,FALSE
Sri Gurukulam Secondary School,srigurukulam@gmail.com,FALSE
Vanaprastha International School,info@vanaprastha.in,FALSE
St Philomena’s Academy ,hello@stphilomenasacademy.com,FALSE
BRS Global School ,brsglobal@gmail.com;brsglobal9@gmail.com,FALSE
INDUS INTERNATIONAL SCHOOL,principal@indusschool.com;feedback@indusschool.com,FALSE
The Ashok Leyland School ,alshosur@gmail.com;alsinfo@thealschool.org,FALSE
Litera Valley Zee School,zeeschoolhosur@gmail.com,FALSE
Siddharth Village School,svishosur@gmail.com,FALSE
School Of India,info@schoolofindia.com,FALSE
EISB,info.bangalore@eis.edu.in,FALSE
Alliance University,vc@alliance.edu.in;registrar.exams@alliance.edu.in,FALSE
RYAN INTERNATIONAL SCHOOL,ris.blr4@ryangroup.org,FALSE
Golden Independent PU Collge,info@goldenpucollege.com,FALSE
christ international school,christinternationalschool@gmail.com,FALSE
Vanaprastha International School,info@vanaprastha.in,FALSE
Shanti Bhavan Educational Trust,info@shantibhavanchildren.org,FALSE
BTL Institute of Technology and Management ,principal.btlit@gmail.com;principal@btlit.ac.in,FALSE
PES University,admissions@pes.edu,FALSE
